address_id,line1,city,state,postal_code,country,geo_lat,geo_lon
ADDR00001,9460 Christopher Mews,New Elizabethmouth,Michigan,04408,India,24.625097,68.725312
ADDR00002,9679 Sara Parks Apt. 362,Dianeport,Florida,87415,India,15.150762,74.473111
ADDR00003,3221 Campbell Islands Apt. 979,Donaldview,New York,87125,India,27.148252,87.624285
ADDR00004,7975 Bradley Mills Apt. 135,North Crystal,Utah,21146,India,31.196669,70.521226
ADDR00005,0168 Vaughan Inlet,East Melody,Indiana,41850,India,18.969967,68.864119
ADDR00006,51308 Sara Causeway Suite 826,Carolfort,Nebraska,59839,India,13.684587,82.655303
ADDR00007,40434 Vasquez Turnpike Suite 952,Priceland,Wisconsin,43862,India,8.689935,73.766292
ADDR00008,9759 Anderson Union Apt. 512,South Marcustown,Wyoming,77706,India,24.896995,83.803303
ADDR00009,72701 Vasquez Island Apt. 516,Port Yolandaport,Colorado,93992,India,13.731456,85.088705
ADDR00010,10838 Katelyn Fields Apt. 320,Blankenshiphaven,Wisconsin,71085,India,29.045192,68.188464
ADDR00011,2101 Thomas Vista Suite 967,Jonathanborough,Alabama,38719,India,28.951301,88.246042
ADDR00012,241 Tiffany Harbor,New Erikafurt,Wisconsin,21100,India,16.846513,72.508905
ADDR00013,75713 Greene Ford Suite 417,Stephanieside,New Jersey,61353,India,32.88754,77.761242
ADDR00014,159 Timothy Heights Suite 145,South Justinton,Hawaii,72236,India,10.411392,70.804775
ADDR00015,856 Christina Skyway Apt. 382,Kennethchester,Indiana,77917,India,30.034854,85.508055
ADDR00016,23495 Weeks Extension Apt. 707,North Stephaniestad,Massachusetts,33530,India,28.985335,89.162222
ADDR00017,46091 Dillon River Suite 789,New John,Mississippi,98166,India,21.94193,96.220357
ADDR00018,236 Mueller Circle,Colemanshire,Oregon,42932,India,17.841894,84.009178
ADDR00019,274 Daniel Skyway Suite 482,Blevinsmouth,Utah,61924,India,29.564521,85.937073
ADDR00020,31326 Wilcox Brooks Suite 135,Luketown,Delaware,38382,India,30.404379,84.743212
ADDR00021,6931 Christensen Groves Apt. 066,Davisbury,Rhode Island,06647,India,26.318868,69.328907
ADDR00022,0669 Deborah Trail Suite 642,Lake Joseph,Maine,15705,India,13.925355,76.392251
ADDR00023,75523 Richardson Parks,New Victorbury,Utah,17858,India,10.074591,74.750936
ADDR00024,247 Diane Mountain,East Kristi,South Dakota,60912,India,10.626037,76.061234
ADDR00025,566 White Springs,Lake Bethany,Montana,64154,India,24.527796,78.580133
ADDR00026,5497 Jackson Highway Suite 844,Derrickville,Georgia,92248,India,17.624705,74.075704
ADDR00027,17369 Maldonado Ways Suite 187,Greenville,Virginia,87588,India,14.941423,95.162983
ADDR00028,97241 Brittney Gardens,Garzamouth,Idaho,75545,India,24.84892,85.664799
ADDR00029,8953 Monica Points,North Allisonborough,Maryland,63778,India,12.449605,89.144677
ADDR00030,637 Amber Squares,Albertborough,South Carolina,83042,India,12.248465,79.004208
ADDR00031,3793 Pierce Pike Suite 230,West Justin,Massachusetts,29876,India,33.727607,86.559993
ADDR00032,48314 Johnny Shore Apt. 670,South Ryan,Mississippi,33058,India,22.480693,87.853813
ADDR00033,7054 Richard Flat,Sellersbury,Virginia,07450,India,29.91415,90.503997
ADDR00034,297 Mccormick Divide Apt. 487,Kellyshire,Oregon,10047,India,13.95525,68.930907
ADDR00035,712 Baker Ford Apt. 633,Hernandezstad,Michigan,09274,India,16.201779,75.764485
ADDR00036,68684 Harold Junctions,New Henryfurt,Virginia,93532,India,13.485554,95.344382
ADDR00037,44545 Moore Harbor Apt. 678,Port Darleneside,Georgia,18161,India,30.785558,77.125659
ADDR00038,797 Andrews Plaza Suite 877,Debraburgh,Alabama,33109,India,25.041405,79.473325
ADDR00039,41801 Erickson Avenue Suite 971,South John,Colorado,98869,India,31.778237,81.306704
ADDR00040,7467 Michelle Expressway Suite 732,East Kylie,West Virginia,02053,India,14.886884,75.152198
ADDR00041,0271 Robert Manors Suite 073,Nancyville,Montana,84483,India,22.595571,75.619507
ADDR00042,572 Brown Road,Ashleymouth,North Dakota,05468,India,23.199236,94.036864
ADDR00043,6959 Joseph Isle Apt. 126,Haleyview,South Dakota,58949,India,18.384413,74.360302
ADDR00044,691 Wilson Islands Suite 134,Simpsonmouth,Kentucky,13907,India,33.935978,82.776263
ADDR00045,521 Peterson Viaduct,Williamberg,Massachusetts,60974,India,10.363645,69.366375
ADDR00046,33909 Stacy Streets,West Philip,Indiana,97884,India,10.850877,86.195935
ADDR00047,96878 Brian Bridge,North Nancy,Kansas,19611,India,28.594063,80.242639
ADDR00048,0620 Pham Island Suite 220,East Victoria,Kentucky,66421,India,9.65172,79.066959
ADDR00049,1221 Todd Brook Suite 760,Lake Larryfurt,New York,09837,India,33.899156,83.344316
ADDR00050,73061 Jesse Glens Apt. 135,South Paulport,Texas,45809,India,33.248038,92.962611
ADDR00051,0015 Brooks Court,Destinyhaven,Connecticut,16612,India,8.298507,88.900933
ADDR00052,5937 Jones View,Zacharymouth,Florida,60137,India,25.72447,83.57214
ADDR00053,352 Michael Passage Suite 175,Martinezmouth,Missouri,24003,India,14.937455,86.587892
ADDR00054,55572 Sanders Trail,South Matthewville,Missouri,65490,India,10.900357,80.608192
ADDR00055,87829 Raymond Circles Suite 692,New Matthewmouth,Wyoming,85444,India,19.796816,95.660662
ADDR00056,3443 Torres Streets,Port Stanley,Arkansas,86680,India,30.772176,75.638282
ADDR00057,085 Carla Garden,Ericatown,West Virginia,34373,India,21.015239,73.180905
ADDR00058,049 Steven Bridge Suite 966,Lake Jessica,Louisiana,42939,India,31.728324,93.245039
ADDR00059,58032 Wade Grove,Millerchester,West Virginia,09584,India,15.759565,86.529535
ADDR00060,17422 Robert Meadow,Johnsonland,Florida,87668,India,23.833225,72.432339
ADDR00061,859 Allen Square Apt. 123,South Patrickbury,Nebraska,32028,India,27.825281,83.641992
ADDR00062,7306 Williams Falls Apt. 824,Andrewfort,Kansas,10157,India,28.244288,83.380256
ADDR00063,611 Debra Flat,Smithfurt,Missouri,56981,India,8.014869,77.400526
ADDR00064,13909 Steven Light,New Kimberly,Arizona,64981,India,8.506395,94.94386
ADDR00065,7006 Lambert Ports,Crystalshire,Idaho,07461,India,30.846769,92.1183
ADDR00066,3631 Patrick Track Apt. 766,Lake Joshuaview,Wisconsin,76378,India,15.995367,69.67983
ADDR00067,6743 Lisa Springs,Jenniferborough,Missouri,07183,India,30.82825,95.461534
ADDR00068,6603 Edwards Alley Suite 085,Brittanystad,Utah,05734,India,10.22699,82.093723
ADDR00069,74453 Wilson Crest Suite 447,North Jamietown,Mississippi,30456,India,9.799525,90.057463
ADDR00070,02968 Benjamin Mountain Suite 241,South Garyfurt,Mississippi,37391,India,27.911695,71.723352
ADDR00071,83063 Jerry Lane,Reynoldschester,South Carolina,99580,India,20.357342,83.944304
ADDR00072,35934 Pearson Ford,Gonzalezchester,Missouri,51595,India,14.891472,93.300558
ADDR00073,6075 Mercado Rue Suite 186,Blakeville,North Dakota,44327,India,19.001586,74.142148
ADDR00074,39606 George Lodge Suite 240,East Stephanie,Virginia,52378,India,22.021698,89.168001
ADDR00075,2064 Michelle Harbor,Benjaminville,Utah,22432,India,13.229928,77.039772
ADDR00076,152 Nancy Oval Apt. 260,Keithborough,Massachusetts,18888,India,33.873883,86.846464
ADDR00077,786 Fleming Mission Suite 539,Jenningsport,Colorado,57101,India,19.390602,83.009699
ADDR00078,19378 Cynthia Junction,North Jonathan,Maine,32740,India,11.146109,74.516223
ADDR00079,2517 Emily Junctions Suite 444,South Tammystad,Georgia,51094,India,16.790225,85.060953
ADDR00080,59941 Blanchard Fall Apt. 634,Johnsonstad,Massachusetts,18938,India,13.982983,74.386304
ADDR00081,246 Velez Trail,Hunterport,Virginia,08167,India,9.84582,86.301986
ADDR00082,5718 Jason Spurs,New Angelatown,Washington,98589,India,13.952486,94.25718
ADDR00083,4915 Benson Ranch,New Marvinland,Georgia,11547,India,30.35052,70.054863
ADDR00084,96461 Hammond Ridges Apt. 330,Lake Tracytown,Wyoming,29611,India,14.18812,87.400356
ADDR00085,87948 Ashley Lights Suite 647,Fishertown,Massachusetts,47957,India,13.570157,71.837044
ADDR00086,45776 Thompson Mountain Suite 982,North Shawn,Maryland,68131,India,32.32337,84.56025
ADDR00087,34043 Palmer Valley Suite 226,Andreaberg,New York,40508,India,20.289447,90.753963
ADDR00088,238 John Shoal,New George,Minnesota,53456,India,28.994922,73.521888
ADDR00089,97819 Shawn Square Suite 993,Lake Jeanville,Florida,12954,India,10.520201,80.500484
ADDR00090,90378 Kimberly Branch Suite 547,Andrewland,Louisiana,29843,India,19.013044,81.543715
ADDR00091,1993 Cooper Corner,Hansentown,Missouri,72351,India,26.955972,87.527572
ADDR00092,28556 George Skyway,Goodview,Connecticut,38455,India,33.588295,70.854118
ADDR00093,423 Alexis Brooks,Brooksbury,Virginia,97051,India,18.468153,77.839776
ADDR00094,600 Jacob Locks,East Mackenzie,Connecticut,92640,India,30.403486,75.211034
ADDR00095,5585 Lawson Squares,Joycemouth,Wyoming,75497,India,12.945432,81.009793
ADDR00096,025 Brown Pike Suite 578,Michaelport,Delaware,97927,India,18.968923,76.077809
ADDR00097,645 Christopher Light Apt. 267,Normanhaven,Missouri,11406,India,14.494968,94.774702
ADDR00098,75898 Dyer Cape Suite 722,Washingtonfort,Idaho,66122,India,19.521399,92.979124
ADDR00099,072 Sean Fords Apt. 251,New Teresa,Oregon,26562,India,22.308458,69.467062
ADDR00100,01756 Dunlap Branch Suite 105,Robertside,Maryland,26887,India,33.981344,92.2448
ADDR00101,7278 Ruth Bypass,East Richard,Virginia,47188,India,33.193903,94.864643
ADDR00102,481 Hoover Loaf,Port Ronaldmouth,Washington,98660,India,30.066089,72.823022
ADDR00103,79794 Andres Mills,Stephanieville,Rhode Island,81659,India,20.626669,74.198672
ADDR00104,75819 Brooks Viaduct Apt. 317,Wardborough,Delaware,16735,India,18.427048,69.700427
ADDR00105,710 Gregory Springs Suite 082,Lake Gracestad,Montana,51442,India,17.853301,96.573956
ADDR00106,104 Booth Coves Suite 584,Donaldfort,New Hampshire,65447,India,14.89528,90.738047
ADDR00107,51815 Garcia Park,New Valerieburgh,Tennessee,78773,India,19.830218,80.267217
ADDR00108,997 Joshua Trafficway Apt. 023,Fowlertown,Tennessee,37754,India,32.890259,96.867258
ADDR00109,186 Smith Keys,Walterborough,Kansas,40451,India,22.449976,88.83384
ADDR00110,2589 Cohen Creek Suite 333,West Scottchester,Virginia,92301,India,12.024717,76.604527
ADDR00111,0645 Jared Lane,Melissaborough,New Mexico,95211,India,33.186443,84.796228
ADDR00112,67535 Osborne Bypass Apt. 913,Port Lauraport,Maryland,49221,India,22.097075,89.691291
ADDR00113,83997 Christopher Row Apt. 004,North Karenton,New Mexico,06657,India,9.486297,84.94115
ADDR00114,131 Mahoney Ridges Apt. 456,Port Austin,Ohio,27863,India,21.07411,92.728877
ADDR00115,866 Yvonne Mews Suite 598,Port Alejandro,Wyoming,82020,India,12.093251,95.862588
ADDR00116,355 Jennifer Field,South Royview,California,13127,India,10.082898,73.388924
ADDR00117,148 Debra Street Suite 616,Grahammouth,North Carolina,50572,India,23.470913,87.581164
ADDR00118,504 Singh Manor,North Jennifer,Louisiana,41497,India,14.115301,71.476712
ADDR00119,99058 Gray Avenue Apt. 942,East Shannonton,Massachusetts,47465,India,31.14747,75.140245
ADDR00120,238 Ingram Canyon Suite 485,Walkerburgh,North Dakota,56224,India,23.457498,85.962064
ADDR00121,6322 Martin Ports Suite 770,Karenberg,Vermont,54704,India,18.899848,84.926496
ADDR00122,01998 Jeffrey Motorway,Petersontown,New York,80793,India,21.592351,95.106481
ADDR00123,046 Jensen Forks Apt. 897,Lake Zacharytown,Alaska,21046,India,13.310739,88.769562
ADDR00124,8255 Baker Spur,Maddoxville,Utah,40078,India,14.205835,79.47779
ADDR00125,220 Howard Highway,New Christopherland,Michigan,96910,India,25.463946,76.699915
ADDR00126,8578 Heath Lodge,Brettberg,Vermont,32639,India,16.220607,89.80407
ADDR00127,335 Robert Parkway,Holderhaven,Wisconsin,43701,India,9.886121,81.29028
ADDR00128,17622 Monroe Road,West Abigailtown,Illinois,72496,India,33.959815,96.886797
ADDR00129,11236 Murphy Harbor Suite 273,Port Jonathanbury,Washington,94335,India,9.904779,74.181475
ADDR00130,394 Stephanie Hills,Kirbyhaven,Mississippi,62686,India,14.895211,95.064522
ADDR00131,7467 Brooks Lane,South Ryanport,New York,66336,India,30.902469,93.498837
ADDR00132,6922 Oconnor Falls Suite 536,Garciaburgh,Mississippi,10439,India,17.607704,72.574658
ADDR00133,62273 Darlene Valley Apt. 109,South Richardview,Mississippi,43661,India,29.677369,88.402658
ADDR00134,618 Tina Gateway Apt. 353,Valenciamouth,Delaware,38561,India,23.903622,96.629759
ADDR00135,7571 Sara Flat Suite 169,Port Ericaport,West Virginia,88853,India,25.003384,68.22687
ADDR00136,88044 Nicole Lock Apt. 942,New Tina,Pennsylvania,01174,India,29.244708,76.681984
ADDR00137,40153 Orozco Stream Apt. 623,Patriciatown,Idaho,57935,India,25.248107,95.22897
ADDR00138,73688 Jason Greens Apt. 767,North Kennethshire,Michigan,58446,India,11.491569,71.347431
ADDR00139,0639 Ashley Point,Lisafort,Arizona,49341,India,10.782935,84.043486
ADDR00140,78738 Travis Rest,Glassburgh,Maryland,31430,India,15.081054,85.540065
ADDR00141,356 Chandler Unions Suite 240,South Charles,Washington,23855,India,26.657917,73.904322
ADDR00142,489 Carolyn Shoals Suite 112,Matthewview,Nevada,82966,India,24.490187,75.655533
ADDR00143,3172 Rodriguez Meadows Suite 838,South Coreyfort,New Hampshire,30495,India,20.701828,94.254758
ADDR00144,8982 Charles Causeway,Ericmouth,Minnesota,49997,India,29.998697,70.676656
ADDR00145,768 Santiago Ford Apt. 065,Phillipsmouth,South Dakota,68835,India,19.01297,76.023726
ADDR00146,37519 Davis Burg Suite 977,Port Jose,Arizona,09817,India,8.092188,90.362457
ADDR00147,13331 Calvin Walks,Bowmanton,Indiana,09835,India,24.564948,75.596703
ADDR00148,819 Robert Fields,West Juliamouth,Colorado,01699,India,27.272004,83.998732
ADDR00149,756 Morgan Trail,New Christophershire,New York,60743,India,19.11986,68.280421
ADDR00150,851 Schultz Trafficway Apt. 305,East Jackietown,Louisiana,09278,India,9.95634,93.610085
ADDR00151,049 Deborah Field Apt. 800,East Ericside,Oklahoma,56332,India,31.502143,83.822118
ADDR00152,35497 Wong Dam Suite 154,New Lisa,Washington,80037,India,29.699471,84.892777
ADDR00153,420 Gibson Shoal Apt. 043,Lindsayburgh,Vermont,60715,India,11.850438,71.69592
ADDR00154,86061 Jeremy Mill Apt. 378,New Aprilfort,Oklahoma,78841,India,16.014717,94.070463
ADDR00155,10669 Lee Drive,East Jennyfurt,Florida,07528,India,28.69918,92.960375
ADDR00156,47591 Gates Lights,Campbellhaven,Rhode Island,30983,India,31.372041,74.09222
ADDR00157,38768 Phillips Rapids,Wareborough,North Dakota,09888,India,14.487773,70.981015
ADDR00158,333 Bass Mount Suite 144,East Erichaven,North Carolina,96389,India,28.283022,93.639906
ADDR00159,68885 Alison Ranch,West Jacquelineton,Virginia,47435,India,18.565812,85.999184
ADDR00160,4448 Spencer Circles Suite 559,Adamborough,Delaware,51893,India,12.018387,94.966549
ADDR00161,967 Sarah Circles Apt. 734,Jessicafurt,North Carolina,46443,India,30.479748,96.309975
ADDR00162,6856 Jessica Ranch Suite 571,East Darius,New Mexico,13480,India,29.080065,93.56107
ADDR00163,446 Cheryl Roads Apt. 761,New Martha,Ohio,87847,India,8.644445,89.36037
ADDR00164,70121 Zimmerman Crest Suite 173,New Andrea,Kansas,80268,India,16.636822,94.993661
ADDR00165,8329 Joseph Lake Suite 997,South Julieton,West Virginia,50860,India,28.858114,93.057857
ADDR00166,559 Christian Station Apt. 013,North Joanna,Colorado,64588,India,29.079482,75.737366
ADDR00167,3949 Anderson Lane,Haynesburgh,Georgia,37351,India,28.471737,71.134773
ADDR00168,77100 Ruiz Square Apt. 493,Port Christina,Georgia,39949,India,30.676336,92.899204
ADDR00169,022 Mckinney Trail,Edwinborough,New Hampshire,89142,India,13.783277,91.681012
ADDR00170,826 Claudia Burg,Jocelynview,Kansas,90718,India,19.967884,76.850535
ADDR00171,6173 Glenda Meadow Suite 981,East Charlesburgh,Delaware,17422,India,28.678983,74.600269
ADDR00172,269 Livingston Grove,New Justinberg,Indiana,64313,India,8.615275,73.600764
ADDR00173,154 Glenn Square Suite 061,New Carol,Missouri,22458,India,16.534811,93.066235
ADDR00174,1983 Melissa Creek,Karenchester,Mississippi,14948,India,33.139117,76.094625
ADDR00175,780 Anne Viaduct,North Natasha,Oklahoma,54832,India,24.678525,79.590673
ADDR00176,75729 Esparza Bypass Apt. 698,Port Jeffreyside,North Carolina,23912,India,33.509892,83.550256
ADDR00177,8844 Martinez Mill Suite 802,West Patrickfort,Florida,38112,India,32.420166,71.344911
ADDR00178,008 Mckinney Crossroad,Charlesside,Massachusetts,62010,India,33.230416,73.178467
ADDR00179,36571 Roberts Pine,Wellsside,Alabama,21476,India,33.025892,75.698525
ADDR00180,70386 Hooper Wells Apt. 959,Gallagherfort,Nebraska,46710,India,10.818466,80.602349
ADDR00181,92689 Powers Manor,Joneschester,Louisiana,97077,India,26.942172,77.096642
ADDR00182,454 Tucker Vista Suite 765,West Seanton,New York,23873,India,23.76143,82.831269
ADDR00183,5441 Richard Shore,Robertaberg,Hawaii,30752,India,18.015081,84.721053
ADDR00184,689 Bryan Pines Suite 707,Mollychester,Colorado,06571,India,14.622785,88.554773
ADDR00185,05653 Jordan Manors,Foxport,Nebraska,93960,India,8.043973,94.84168
ADDR00186,8433 Contreras Ports Apt. 914,Collinchester,Rhode Island,25603,India,21.999752,88.86347
ADDR00187,843 Amber Cape,Wattshaven,Oklahoma,49103,India,27.290702,87.448227
ADDR00188,03869 Campbell Villages,Robinsonland,Idaho,55538,India,17.469758,70.029241
ADDR00189,38188 Jodi Village Suite 784,Ashleehaven,Pennsylvania,06235,India,25.27018,77.575801
ADDR00190,137 Perez Plain Apt. 474,Dalemouth,Rhode Island,18600,India,16.161807,92.592443
ADDR00191,558 Matthew Knoll,Smithstad,Washington,71033,India,26.713611,76.709346
ADDR00192,91848 May Meadows Apt. 823,Tinamouth,Alaska,44995,India,16.041401,79.843394
ADDR00193,750 Marsh Ridge,North Ricardo,Alaska,92491,India,18.46241,76.574001
ADDR00194,478 Jacob Gateway Apt. 146,South Christinebury,Ohio,08930,India,11.309483,80.192944
ADDR00195,7277 Carpenter Village,Johnsonstad,Georgia,13966,India,32.449455,87.64222
ADDR00196,764 Love Village Apt. 905,Grahamview,Maryland,35778,India,31.472944,85.849933
ADDR00197,786 Juan Views Apt. 385,Burgessshire,Nevada,75825,India,15.824697,83.890179
ADDR00198,938 Kimberly Islands,Haroldville,Maryland,91938,India,8.010554,76.320498
ADDR00199,5950 Bryan Flats,Romanport,Louisiana,88722,India,19.177092,84.819559
ADDR00200,73027 Williams Turnpike Apt. 847,Bradleymouth,Connecticut,91613,India,25.022346,81.484658
ADDR00201,81018 Cole Freeway Suite 792,East Diamond,Colorado,82881,India,19.496155,74.197341
ADDR00202,367 Thomas Village Suite 682,East Christina,Vermont,16253,India,20.302841,94.134244
ADDR00203,39850 Shelton Curve Suite 174,Staceyton,Colorado,65832,India,28.696644,72.92105
ADDR00204,55706 Roberts Drives Apt. 343,Amandastad,Rhode Island,12667,India,10.204684,82.948108
ADDR00205,21399 Brown Mount Suite 912,New Kathy,Louisiana,30057,India,24.456462,77.720459
ADDR00206,1638 Hodge Skyway,Lake Jill,Maine,97442,India,29.27901,89.783006
ADDR00207,9192 Lee Mountain Apt. 261,New Natalieland,Rhode Island,76436,India,25.492687,74.514579
ADDR00208,73485 Williams Views Apt. 988,Williamsbury,North Dakota,28845,India,13.177378,68.708336
